Training Log:
step 1/6000 loss=3.4125
step 2/6000 loss=3.4424
step 3/6000 loss=3.5045
step 4/6000 loss=3.4744
step 5/6000 loss=3.5070
step 6/6000 loss=3.3921
step 7/6000 loss=3.4484
step 8/6000 loss=3.4895
step 9/6000 loss=3.4007
Run Log:
Timesteps for transformer:2235
Timesteps for FCFS:2235
Timesteps for SJF:2235
Timesteps for RR:2235
Timesteps for SRTF:2235
Timestep 0: Transformer: -0.00084, FCFS: -0.00046, SJF: -0.01, RR: -0.01, SRTF: -0.00046
Timestep 10: Transformer: -0.01364, FCFS: -0.00768, SJF: -0.010440000000000001, RR: -0.02258, SRTF: -0.00952
Timestep 20: Transformer: -0.04126, FCFS: -0.028200000000000003, SJF: -0.032479999999999995, RR: -0.05986, SRTF: -0.04042
Timestep 30: Transformer: -0.09196999999999998, FCFS: -0.06011999999999999, SJF: -0.06724, RR: -0.1226, SRTF: -0.08109
Timestep 40: Transformer: -0.15220999999999998, FCFS: -0.12054000000000001, SJF: -0.12074, RR: -0.19522000000000003, SRTF: -0.12501
Timestep 50: Transformer: -0.22703, FCFS: -0.19274, SJF: -0.20221, RR: -0.27202, SRTF: -0.17615999999999998
Timestep 60: Transformer: -0.3036, FCFS: -0.26494000000000006, SJF: -0.2922, RR: -0.34882, SRTF: -0.23833
Timestep 70: Transformer: -0.38361999999999996, FCFS: -0.33714000000000005, SJF: -0.37081000000000003, RR: -0.42562, SRTF: -0.31685
Timestep 80: Transformer: -0.46502, FCFS: -0.40934000000000004, SJF: -0.46417, RR: -0.50242, SRTF: -0.4076800000000001
Timestep 90: Transformer: -0.5468799999999999, FCFS: -0.48154, SJF: -0.54065, RR: -0.57922, SRTF: -0.50211
Timestep 100: Transformer: -0.6309600000000001, FCFS: -0.5537399999999999, SJF: -0.64068, RR: -0.65602, SRTF: -0.5970799999999999
Timestep 110: Transformer: -0.71673, FCFS: -0.6259399999999999, SJF: -0.7127600000000001, RR: -0.73282, SRTF: -0.6920499999999999
Timestep 120: Transformer: -0.80894, FCFS: -0.69814, SJF: -0.81087, RR: -0.80962, SRTF: -0.7904699999999999
Timestep 130: Transformer: -0.89762, FCFS: -0.7703399999999999, SJF: -0.9046899999999999, RR: -0.88642, SRTF: -0.8879699999999999
Timestep 140: Transformer: -0.95344, FCFS: -0.84254, SJF: -0.6928000000000001, RR: -0.96322, SRTF: -0.9840899999999999
Timestep 150: Transformer: -1.0307, FCFS: -0.9147399999999999, SJF: -1.0740100000000001, RR: -1.04002, SRTF: -1.0721600000000002
Timestep 160: Transformer: -1.1164699999999999, FCFS: -0.98771, SJF: -1.14742, RR: -1.11682, SRTF: -1.1542500000000002
Timestep 170: Transformer: -1.2013200000000002, FCFS: -1.06658, SJF: -1.23978, RR: -1.1936200000000001, SRTF: -1.2312800000000002
Timestep 180: Transformer: -1.2795, FCFS: -1.1479800000000002, SJF: -1.3319100000000001, RR: -1.2704199999999999, SRTF: -1.30348
Timestep 190: Transformer: -1.3563, FCFS: -1.22823, SJF: -1.42289, RR: -1.34722, SRTF: -1.37568
Timestep 200: Transformer: -1.43195, FCFS: -1.30641, SJF: -1.51579, RR: -1.42402, SRTF: -1.44788
Timestep 210: Transformer: -1.50553, FCFS: -1.38114, SJF: -1.6040900000000002, RR: -1.5008199999999998, SRTF: -1.5200799999999999
Timestep 220: Transformer: -1.58417, FCFS: -1.45334, SJF: -1.68687, RR: -1.57762, SRTF: -1.59228
Timestep 230: Transformer: -1.66327, FCFS: -1.5255400000000001, SJF: -1.76321, RR: -1.65442, SRTF: -1.62188
Timestep 240: Transformer: -1.7423700000000002, FCFS: -1.59774, SJF: -1.83725, RR: -1.7312200000000002, SRTF: -1.6979900000000003
Timestep 250: Transformer: -1.81848, FCFS: -1.66994, SJF: -1.90945, RR: -1.80802, SRTF: -1.7747900000000003
Timestep 260: Transformer: -1.8916, FCFS: -1.74214, SJF: -1.9816500000000001, RR: -1.88482, SRTF: -1.8511300000000002
Timestep 270: Transformer: -1.9661, FCFS: -1.81434, SJF: -2.05385, RR: -1.9616200000000001, SRTF: -1.9235600000000002
Timestep 280: Transformer: -2.04175, FCFS: -1.88654, SJF: -2.1260499999999998, RR: -2.03842, SRTF: -1.9957600000000002
Timestep 290: Transformer: -2.11648, FCFS: -1.95874, SJF: -2.19825, RR: -2.11522, SRTF: -2.0679600000000002
Timestep 300: Transformer: -2.19098, FCFS: -2.03094, SJF: -2.27045, RR: -2.19202, SRTF: -2.1401600000000003
Timestep 310: Transformer: -2.26548, FCFS: -2.1031400000000002, SJF: -2.34265, RR: -2.26882, SRTF: -2.2123600000000003
Timestep 320: Transformer: -2.3408200000000003, FCFS: -2.1753400000000003, SJF: -2.41485, RR: -2.34562, SRTF: -2.2845600000000004
Timestep 330: Transformer: -2.41716, FCFS: -2.2475400000000003, SJF: -2.48705, RR: -2.42242, SRTF: -2.35676
Timestep 340: Transformer: -2.4916600000000004, FCFS: -2.3197400000000004, SJF: -2.55925, RR: -2.4992199999999998, SRTF: -2.42896
Timestep 350: Transformer: -2.52102, FCFS: -2.3919400000000004, SJF: -2.63145, RR: -2.5760199999999998, SRTF: -2.50116
Timestep 360: Transformer: -2.5695400000000004, FCFS: -2.4641400000000004, SJF: -2.7036499999999997, RR: -2.6528199999999997, SRTF: -2.57336
Timestep 370: Transformer: -2.6449599999999998, FCFS: -2.53634, SJF: -2.77585, RR: -2.7296199999999997, SRTF: -2.64556
Timestep 380: Transformer: -2.72176, FCFS: -2.6085400000000005, SJF: -2.8480499999999997, RR: -2.80642, SRTF: -2.71776
Timestep 390: Transformer: -2.79649, FCFS: -2.62392, SJF: -2.9202500000000002, RR: -2.8832199999999997, SRTF: -2.78996
Timestep 400: Transformer: -2.8689200000000006, FCFS: -2.70072, SJF: -2.99245, RR: -2.9600199999999997, SRTF: -2.86216
Timestep 410: Transformer: -2.94342, FCFS: -2.77752, SJF: -3.06465, RR: -3.0368199999999996, SRTF: -2.9343600000000003
Timestep 420: Transformer: -3.01792, FCFS: -2.85432, SJF: -3.13685, RR: -3.1136199999999996, SRTF: -3.00656
Timestep 430: Transformer: -3.0930299999999997, FCFS: -2.9281300000000003, SJF: -3.20905, RR: -3.19042, SRTF: -3.0787600000000004
Timestep 440: Transformer: -3.16753, FCFS: -3.00033, SJF: -3.28125, RR: -3.26722, SRTF: -3.06554
Timestep 450: Transformer: -3.24203, FCFS: -3.0725300000000004, SJF: -3.35345, RR: -3.34402, SRTF: -3.1430300000000004
Timestep 460: Transformer: -3.31653, FCFS: -3.14473, SJF: -3.4256499999999996, RR: -3.4208199999999995, SRTF: -3.22213
Timestep 470: Transformer: -3.3894200000000003, FCFS: -3.21693, SJF: -3.49785, RR: -3.4976199999999995, SRTF: -3.3005400000000003
